Имя дрона,Несущая частота,Пропускная способность,Время обнаружения,Комментарии,Широта,Долгота,Азимут,Внутренний радиус сектора,Внешний радиус сектора,Радиус сектора (м),IP-адрес стрижа
AAA HUI,2000.0,500000.0,2021-09-13 15:40:14,AAAAA,100.0,200.0,20,350.0,50.0,1500.0,192.168.2.241
dron 208,0.0,0.0,2021-08-30 17:03:51,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON2278,0.0,0.0,2021-08-30 12:43:26,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON12,0.0,0.0,2021-08-30 12:48:26,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 13,0.0,0.0,2021-08-30 17:03:13,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 13,0.0,0.0,2021-08-30 17:03:14,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 14,0.0,0.0,2021-08-30 17:03:15,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 15,0.0,0.0,2021-08-30 17:03:16,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 16,0.0,0.0,2021-08-30 17:03:17,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 17,0.0,0.0,2021-08-30 17:03:18,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 188,0.0,0.0,2021-08-30 17:03:20,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 200,0.0,0.0,2021-08-30 17:03:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 201,0.0,0.0,2021-08-30 17:03:30,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 202,0.0,0.0,2021-08-30 17:03:35,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 203,0.0,0.0,2021-08-30 17:03:40,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 204,0.0,0.0,2021-08-30 17:03:45,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 205,0.0,0.0,2021-08-30 17:03:46,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 206,0.0,0.0,2021-08-30 17:03:48,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 207,0.0,0.0,2021-08-30 17:03:50,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 209,0.0,0.0,2021-08-30 17:03:52,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 210,0.0,0.0,2021-08-30 17:45:52,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 2100,0.0,0.0,2021-08-30 17:45:55,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 228,0.0,0.0,2021-08-30 17:58:55,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 225,0.0,0.0,2021-08-30 17:58:56,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
dron 200,0.0,0.0,2021-08-30 17:59:00,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-30 11:15:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON222,0.0,0.0,2021-08-30 11:19:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON111,0.0,0.0,2021-08-30 11:20:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON3,0.0,0.0,2021-08-30 11:23:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON4,0.0,0.0,2021-08-30 11:28:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON5,0.0,0.0,2021-08-30 11:34:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON6,0.0,0.0,2021-08-30 11:37:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
